vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,passengercount,tripdistance,fareamount,extra,mtatax,tipamount,tollsamount,improvementsurcharge,totalamount,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,duration
1,1,0,0,0,0,0,0,0,0,0,0,0,2,2.51,10.0,0.5,0.5,3.39,0.0,0.3,14.69,0,0,1,0,0,1,600.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.78,7.0,0.0,0.5,0.0,0.0,0.3,7.8,0,1,0,0,1,0,494.0
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.85,4.5,0.0,0.5,1.59,0.0,0.3,6.89,1,0,0,1,0,0,180.0
1,1,0,0,0,1,0,0,0,1,0,0,0,5,0.38,4.0,1.0,0.5,1.16,0.0,0.3,6.96,0,0,1,0,0,1,147.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.15,8.0,0.0,0.5,1.76,0.0,0.3,10.56,0,1,0,0,1,0,588.0
1,0,1,0,0,0,0,0,0,0,0,0,0,6,0.22,21.5,0.0,0.0,0.0,0.0,0.3,21.8,0,1,0,0,1,0,180.0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0.7,5.0,0.0,0.5,1.15,0.0,0.3,6.95,0,1,0,0,1,0,269.0
1,0,1,0,1,0,0,0,0,0,0,0,0,6,0.71,4.5,0.0,0.5,0.0,0.0,0.3,5.3,0,1,0,0,1,0,220.0
1,1,0,0,1,0,0,0,0,0,0,0,0,2,2.96,13.0,0.5,0.5,2.86,0.0,0.3,17.16,0,0,1,0,0,1,960.0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.8,5.5,0.0,0.5,1.0,0.0,0.3,7.3,1,0,0,1,0,0,330.0
1,0,1,0,0,0,0,1,0,0,0,0,0,1,0.96,5.5,1.0,0.5,0.0,0.0,0.3,7.3,0,0,1,0,0,1,300.0
0,0,1,0,0,0,0,0,0,0,0,0,0,4,1.9,10.5,0.0,0.5,0.0,0.0,0.3,11.3,0,1,0,0,1,0,840.0
1,0,1,0,0,0,0,0,0,0,0,0,0,4,0.97,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0,0,1,0,0,1,360.0
1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.95,5.0,0.5,0.5,1.0,0.0,0.3,7.3,1,0,0,1,0,0,213.0
1,1,0,0,0,0,0,0,0,0,0,0,0,4,1.02,6.0,0.5,0.5,1.46,0.0,0.3,8.76,0,0,1,0,0,1,285.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.78,5.0,0.0,0.5,1.0,0.0,0.3,6.8,0,1,0,0,1,0,300.0
1,1,0,0,0,0,0,0,0,0,0,1,0,6,1.16,7.0,0.0,0.5,1.95,0.0,0.3,9.75,0,0,1,0,0,1,480.0
0,1,0,0,0,0,0,0,0,0,0,0,0,3,4.3,17.5,0.5,0.5,2.22,0.0,0.3,21.02,1,0,0,1,0,0,1273.0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.9,9.5,0.0,0.5,2.55,0.0,0.3,12.85,0,1,0,0,1,0,674.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,8.0,0.5,0.5,0.0,0.0,0.3,9.3,0,0,1,0,0,1,420.0
1,1,0,0,0,0,0,0,1,0,0,0,0,2,1.02,8.5,0.0,0.5,1.86,0.0,0.3,11.16,0,1,0,0,1,0,737.0
1,1,0,0,0,0,0,0,0,0,0,0,0,3,5.11,16.5,0.5,0.5,5.34,0.0,0.3,23.14,1,0,0,1,0,0,972.0
