trip_distance,tip_amount,total_amount,seconds
0.78,0.0,14.700808153250637,494.00000000000006
0.85,1.59,14.700808153250637,180.0
0.38,1.16,14.700808153250637,147.0
1.15,1.76,14.700808153250637,588.0
7.16,0.0,21.8,900.0
0.22,0.0,21.8,180.0
0.7,1.15,14.700808153250637,269.0
0.71,0.0,14.700808153250637,220.0
3.1,5.76,34.56,2940.0
2.96,2.86,17.16,960.0000000000001
0.8,1.0,14.700808153250637,330.0
0.96,0.0,14.700808153250637,300.0
1.9,0.0,14.700808153250637,840.0
0.97,0.0,14.700808153250637,360.0
0.95,1.0,14.700808153250637,213.0
1.02,1.46,14.700808153250637,285.0
0.78,1.0,14.700808153250637,300.0
1.16,1.95,14.700808153250637,480.00000000000006
4.3,2.22,21.02,1273.0
1.9,2.55,14.700808153250637,674.0
11.2,6.56,39.36,1336.0
2.0,0.0,14.700808153250637,420.0
1.02,1.86,14.700808153250637,737.0
5.11,5.34,23.14,972.0000000000001
0.96,0.0,14.700808153250637,458.00000000000006
1.9,1.86,14.700808153250637,444.0
1.6,1.0,14.700808153250637,534.0
0.4,0.0,14.700808153250637,180.0
0.9,1.0,14.700808153250637,231.00000000000003
4.96,3.66,21.96,1036.0
4.9,5.3,23.1,685.0
9.6,0.0,32.3,1620.0
2.9,0.0,18.3,1500.0
1.62,1.0,14.700808153250637,522.0
13.8,9.1,54.66,1835.0000000000002
1.7,1.0,16.3,1380.0
0.88,0.5,14.700808153250637,424.0
1.46,1.24,14.700808153250637,468.00000000000006
1.66,1.2,14.700808153250637,789.0
1.63,2.16,14.700808153250637,720.0
10.0,7.05,42.35,2099.0
1.42,0.0,14.700808153250637,451.0
0.72,0.0,14.700808153250637,660.0
9.67,8.08,40.38,1915.0000000000002
2.3,2.75,16.55,978.0000000000001
4.7,3.0,22.8,1415.0
3.5,0.0,20.3,1896.0000000000002
2.7,0.0,14.700808153250637,924.0000000000001
1.07,0.0,14.700808153250637,600.0
2.3,0.0,14.700808153250637,1080.0
6.93,0.0,25.3,1499.0
2.95,0.0,14.8,960.0000000000001
18.0,0.0,52.8,4020.0000000000005
6.25,4.66,27.96,1402.0
1.8,0.0,14.700808153250637,733.0
0.63,1.16,14.700808153250637,240.00000000000003
1.3,0.0,14.700808153250637,440.0
3.22,3.32,16.62,600.0
1.09,1.0,14.700808153250637,410.0
0.79,0.0,14.700808153250637,480.00000000000006
1.1,1.35,14.700808153250637,324.0
2.73,4.46,26.76,2038.0000000000002
1.9,0.0,14.700808153250637,540.0
2.85,1.0,14.700808153250637,960.0000000000001
1.8,0.0,14.700808153250637,1020.0000000000001
0.83,0.7,14.700808153250637,360.0
4.2,4.56,27.36,1890.0000000000002
1.6,0.0,14.700808153250637,948.0000000000001
0.5,2.0,14.700808153250637,240.00000000000003
1.71,2.26,14.700808153250637,860.0
0.0,0.0,20.3,7.0
1.06,0.0,14.700808153250637,296.0
4.1,3.75,22.55,1196.0
1.08,1.17,14.700808153250637,360.0
2.6,0.0,14.700808153250637,970.0000000000001
0.91,0.0,14.700808153250637,356.0
0.95,2.0,14.700808153250637,702.0
1.71,1.0,14.700808153250637,300.0
2.62,0.0,14.700808153250637,600.0
9.0,0.0,28.8,1748.0
0.67,1.06,14.700808153250637,249.00000000000003
