vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,passengercount,tripdistance,fareamount,tipamount,totalamount,duration
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.7337662337662337,0.6226415094339622,0.3284072249589491,0.6233850129198966,960.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.18181818181818182,0.24528301886792453,0.2988505747126437,0.2945736434108527,392.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.09577922077922077,0.18867924528301885,0.2233169129720854,0.2635658914728682,300.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.16666666666666666,0.2435064935064935,0.32075471698113206,0.41871921182266003,0.41505167958656325,596.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.6666666666666666,0.27759740259740256,0.3962264150943396,0.0,0.3649870801033592,900.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.4366883116883117,0.4150943396226415,0.0,0.39728682170542634,660.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.06818181818181818,0.1320754716981132,0.1412151067323481,0.16666666666666666,84.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.35714285714285715,0.3962264150943396,0.0,0.39728682170542634,780.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.3333333333333333,0.4220779220779221,0.660377358490566,0.0,0.5910852713178294,1680.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.16666666666666666,0.12987012987012989,0.16981132075471697,0.20689655172413793,0.24418604651162787,197.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.47077922077922074,0.6037735849056604,0.0,0.5426356589147286,1380.0
