passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,VendorID_2,RatecodeID_2,RatecodeID_3,RatecodeID_4,RatecodeID_5,RatecodeID_99,store_and_fwd_flag_Y,payment_type_2,payment_type_3,payment_type_4,minutes
1,2.06,62,249,10.0,0.0,0.5,2.16,0.0,0.3,12.96,1,0,0,0,0,0,0,0,0,0,11.316666666666666
1,1.36,649,440,7.5,0.0,0.5,1.66,0.0,0.3,9.96,1,0,0,0,0,0,0,0,0,0,7.750000000000001
1,2.15,392,411,10.0,0.0,0.5,2.16,0.0,0.3,12.96,1,0,0,0,0,0,0,0,0,0,12.1
1,0.67,749,653,6.0,1.0,0.5,1.0,0.0,0.3,8.8,1,0,0,0,0,0,0,0,0,0,7.0
1,2.1,345,304,8.0,0.5,0.5,1.85,0.0,0.3,11.15,0,0,0,0,0,0,0,0,0,0,6.0
1,1.4,303,334,8.0,1.0,0.5,1.0,0.0,0.3,10.8,0,0,0,0,0,0,0,0,0,0,9.9
1,2.81,749,802,12.0,0.5,0.5,2.0,0.0,0.3,15.3,1,0,0,0,0,0,0,0,0,0,13.0
2,0.6,488,518,4.0,0.0,0.5,1.4,0.0,0.3,6.2,0,0,0,0,0,0,0,0,0,0,1.9
1,0.61,590,366,5.0,0.5,0.5,1.26,0.0,0.3,7.56,1,0,0,0,0,0,0,0,0,0,5.0
4,2.0,749,266,11.0,0.5,0.5,2.0,0.0,0.3,14.3,1,0,0,0,0,0,0,0,0,0,15.05
3,2.24,611,521,12.5,0.5,0.5,2.0,0.0,0.3,15.8,1,0,0,0,0,0,0,0,0,0,16.116666666666667
1,1.9,739,661,12.0,0.0,0.5,3.2,0.0,0.3,16.0,0,0,0,0,0,0,0,0,0,0,17.000000000000004
1,1.21,611,759,7.0,0.0,0.5,1.56,0.0,0.3,9.36,1,0,0,0,0,0,0,0,0,0,8.000000000000002
1,0.54,861,411,4.5,1.0,0.5,1.0,0.0,0.3,7.3,1,0,0,0,0,0,0,0,0,0,5.0
1,2.81,483,858,12.5,0.0,0.5,2.66,0.0,0.3,15.96,1,0,0,0,0,0,0,0,0,0,16.000000000000004
2,0.92,617,521,6.0,0.5,0.5,1.46,0.0,0.3,8.76,1,0,0,0,0,0,0,0,0,0,6.183333333333334
1,1.9,436,285,12.0,0.0,0.5,2.55,0.0,0.3,15.35,0,0,0,0,0,0,0,0,0,0,16.000000000000004
1,0.24,785,802,3.5,0.0,0.5,0.86,0.0,0.3,5.16,1,0,0,0,0,0,0,0,0,0,1.0000000000000002
1,1.39,241,557,13.0,1.0,0.5,3.7,0.0,0.3,18.5,1,0,0,0,0,0,0,0,0,0,20.2
1,0.84,325,467,7.0,0.5,0.5,2.08,0.0,0.3,10.38,1,0,0,0,0,0,0,0,0,0,8.083333333333334
5,2.68,6,35,11.5,0.0,0.5,2.46,0.0,0.3,14.76,1,0,0,0,0,0,0,0,0,0,14.25
1,1.4,779,699,8.5,0.5,0.5,1.95,0.0,0.3,11.75,0,0,0,0,0,0,0,0,0,0,10.85
1,2.0,749,299,8.5,0.5,0.5,1.95,0.0,0.3,11.75,0,0,0,0,0,0,0,0,0,0,8.000000000000002
1,0.6,792,521,5.5,0.0,0.5,1.26,0.0,0.3,7.56,1,0,0,0,0,0,0,0,0,0,6.0
3,1.7,741,612,10.0,0.0,0.5,2.7,0.0,0.3,13.5,0,0,0,0,0,0,0,0,0,0,14.0
1,1.42,779,759,10.0,0.0,0.5,1.0,0.0,0.3,11.8,1,0,0,0,0,0,0,0,0,0,14.1
1,0.9,421,61,6.0,1.0,0.5,1.2,0.0,0.3,9.0,0,0,0,0,0,0,0,0,0,0,5.383333333333334
1,0.4,785,802,6.0,0.0,0.5,0.34,0.0,0.3,7.14,0,0,0,0,0,0,0,0,0,0,7.416666666666667
1,1.7,749,224,8.5,0.5,0.5,1.96,0.0,0.3,11.76,1,0,0,0,0,0,0,0,0,0,10.033333333333333
1,2.19,583,619,10.0,0.5,0.5,2.82,0.0,0.3,14.12,1,0,0,0,0,0,0,0,0,0,9.916666666666666
1,1.0,325,661,9.0,0.0,0.5,1.96,0.0,0.3,11.76,1,0,0,0,0,0,0,0,0,0,12.866666666666667
1,2.5,297,391,12.5,0.0,0.5,3.95,0.0,0.3,17.25,0,0,0,0,0,0,0,0,0,0,14.516666666666667
1,2.42,342,334,11.5,0.5,0.5,1.0,0.0,0.3,13.8,1,0,0,0,0,0,0,0,0,0,14.0
1,0.64,785,802,4.5,1.0,0.5,1.26,0.0,0.3,7.56,1,0,0,0,0,0,0,0,0,0,3.6666666666666665
1,2.0,421,369,10.0,0.0,0.5,2.15,0.0,0.3,12.95,0,0,0,0,0,0,0,0,0,0,11.116666666666667
5,1.97,279,356,10.5,1.0,0.5,3.08,0.0,0.3,15.38,1,0,0,0,0,0,0,0,0,0,14.05
1,1.77,590,224,10.0,0.0,0.5,1.0,0.0,0.3,11.8,1,0,0,0,0,0,0,0,0,0,14.0
1,1.0,739,858,6.5,0.0,0.5,1.45,0.0,0.3,8.75,0,0,0,0,0,0,0,0,0,0,6.683333333333334
1,1.5,861,661,8.5,0.5,0.5,1.95,0.0,0.3,11.75,0,0,0,0,0,0,0,0,0,0,10.55
1,0.8,792,462,6.5,0.0,0.5,1.45,0.0,0.3,8.75,0,0,0,0,0,0,0,0,0,0,8.000000000000002
