date_local,state_name,county_name,city_name,local_site_name,parameter_name,units_of_measure,aqi_log
2018-01-01,Arizona,Maricopa,Phoenix,WEST PHOENIX,Carbon monoxide,Parts per million,3.9318256327243257
2018-01-01,Connecticut,Fairfield,Bridgeport,Roosevelt School-Bridgeport,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Washington,King,Seattle,Seattle-10th & Weller,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Texas,Dallas,Dallas,Dallas Hinton,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Michigan,Wayne,Detroit,NORTHWEST,Carbon monoxide,Parts per million,2.1972245773362196
2018-01-01,California,Orange,Anaheim,Anaheim Near-Road,Carbon monoxide,Parts per million,2.772588722239781
2018-01-01,California,Los Angeles,West Los Angeles,West Los Angeles,Carbon monoxide,Parts per million,2.4849066497880004
2018-01-01,Colorado,Denver,Denver,La Casa,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Ohio,Hamilton,Cincinnati,Cincinnati Near Road,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Oregon,Washington,Tualatin,Tualatin Bradbury Court (TBC) - Near Road Site,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,Arizona,Pima,Tucson,CHERRY & GLENN,Carbon monoxide,Parts per million,2.70805020110221
2018-01-01,District Of Columbia,District of Columbia,Washington,Near Road,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Wisconsin,Dodge,Kekoskee,HORICON WILDLIFE AREA,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Kentucky,Jefferson,Louisville,CANNONS LANE,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Nebraska,Douglas,Omaha,,Carbon monoxide,Parts per million,2.302585092994046
2018-01-01,North Carolina,Wake,Not in a city,Triple Oak,Carbon monoxide,Parts per million,1.0986122886681098
